Bsmt Qual,1st Flr SF,Garage Area,Gr Liv Area,Overall Qual,Neighborhood,House Style,Exterior 1st,Mas Vnr Type,Foundation,Garage Type,Age,SalePrice
3,768,440.0,768,6,2,1Story,Stucco,None,BrkTil,Detchd,78,93850
3,872,322.0,872,5,7,1Story,BrkFace,Stone,BrkTil,Detchd,82,105000
3,520,240.0,520,4,6,1Story,MetalSd,None,BrkTil,Detchd,81,68500
3,1105,480.0,2274,5,11,2Story,MetalSd,BrkFace,CBlock,Detchd,50,154300
3,936,0.0,1601,5,2,1.5Fin,VinylSd,None,BrkTil,None,82,129850
3,616,480.0,1232,5,4,2Story,MetalSd,None,BrkTil,Detchd,97,114000
5,2234,1166.0,2234,9,28,1Story,VinylSd,Stone,PConc,Attchd,1,501837
3,876,720.0,1416,5,4,1.5Fin,Wd Sdng,None,BrkTil,Detchd,93,153900
3,864,576.0,864,4,11,1Story,VinylSd,None,CBlock,Detchd,38,130000
5,1189,392.0,1189,6,13,1Story,VinylSd,BrkFace,PConc,Attchd,11,160500
5,1666,575.0,1666,9,27,1Story,MetalSd,BrkFace,PConc,Attchd,0,310090
4,1200,555.0,1200,7,15,1Story,VinylSd,None,PConc,Attchd,6,184900
4,928,252.0,928,5,11,1Story,Wd Sdng,None,CBlock,Attchd,51,132000
4,1336,502.0,1336,5,16,1Story,HdBoard,BrkFace,CBlock,Attchd,40,163000
4,600,480.0,1200,7,22,2Story,MetalSd,BrkFace,PConc,Detchd,6,155000
3,1427,516.0,1427,6,16,SLvl,MetalSd,None,CBlock,Attchd,39,183000
4,1212,608.0,1992,7,20,2Story,VinylSd,BrkFace,PConc,Attchd,11,211000
4,754,495.0,1540,7,15,2Story,VinylSd,None,PConc,Attchd,15,184000
0,1535,400.0,1535,5,15,1Story,HdBoard,None,Slab,Attchd,30,118858
3,1152,484.0,1152,5,11,SLvl,Wd Sdng,BrkFace,PConc,Attchd,46,180500
4,1151,484.0,1151,8,22,1Story,VinylSd,Stone,PConc,Attchd,1,166000
3,1138,480.0,1138,6,7,SLvl,Wd Sdng,BrkFace,CBlock,Attchd,49,148000
3,1074,396.0,1074,5,11,1Story,Wd Sdng,None,CBlock,Detchd,51,124000
5,1561,556.0,1561,9,27,1Story,MetalSd,BrkFace,PConc,Attchd,2,277500
4,1358,725.0,2726,8,26,2Story,VinylSd,BrkFace,PConc,Attchd,11,350000
5,1884,670.0,1884,9,28,1Story,VinylSd,BrkFace,PConc,Attchd,4,387000
3,605,0.0,605,4,5,1Story,Wd Sdng,None,BrkTil,None,87,86000
4,1671,550.0,1671,8,24,1Story,VinylSd,None,CBlock,Attchd,32,290000
2,797,0.0,797,3,2,1Story,AsbShng,None,CBlock,None,109,44000
5,804,560.0,1961,6,13,2Story,VinylSd,None,PConc,BuiltIn,8,215000
4,1193,501.0,1193,5,16,1Story,Plywood,BrkFace,CBlock,Attchd,34,146500
4,673,490.0,1382,7,22,2Story,MetalSd,None,PConc,Detchd,6,165000
3,1664,216.0,2526,6,4,1.5Fin,Stucco,None,BrkTil,Detchd,91,136000
4,1390,550.0,1390,6,11,1Story,Wd Sdng,Stone,CBlock,Attchd,49,252000
4,764,474.0,1626,7,27,2Story,VinylSd,Stone,PConc,BuiltIn,7,175500
3,868,400.0,1558,5,4,2Story,Wd Sdng,None,BrkTil,Detchd,70,150000
3,1422,286.0,1422,5,11,1Story,Wd Sdng,None,CBlock,Attchd,47,139900
3,1128,360.0,1573,5,6,1.5Fin,MetalSd,None,PConc,Detchd,78,162900
3,1116,440.0,1116,6,11,1Story,Wd Sdng,BrkFace,CBlock,Attchd,48,160000
0,660,0.0,660,2,7,1Story,Wd Sdng,None,Slab,None,62,63900
3,1707,479.0,1707,6,16,1Story,HdBoard,BrkFace,PConc,Attchd,31,184000
3,1466,528.0,1466,5,5,1Story,HdBoard,BrkFace,CBlock,Attchd,47,149900
4,1638,495.0,1638,9,22,1Story,MetalSd,BrkFace,PConc,Attchd,8,300000
3,1721,626.0,1721,5,23,1Story,Plywood,Stone,CBlock,Basment,48,145000
4,928,470.0,1764,6,20,2Story,VinylSd,None,PConc,Attchd,12,231500
3,996,0.0,996,5,5,1Story,WdShing,None,CBlock,None,68,108000
3,1202,304.0,1202,5,11,1Story,BrkFace,None,CBlock,Attchd,53,120000
3,988,572.0,988,5,7,1Story,Wd Sdng,BrkFace,CBlock,Detchd,46,128500
3,1028,360.0,1028,5,4,1Story,WdShing,None,CBlock,Detchd,83,115000
3,720,240.0,1284,5,4,1.5Fin,AsbShng,None,CBlock,Detchd,62,110000
4,1599,864.0,2944,9,24,2Story,Wd Sdng,BrkFace,CBlock,Attchd,31,150000
5,707,403.0,1414,8,14,2Story,VinylSd,None,PConc,Attchd,2,178000
3,959,579.0,1609,7,19,2Story,Wd Sdng,None,BrkTil,2Types,74,199500
3,813,400.0,1525,6,14,2Story,VinylSd,None,PConc,Attchd,9,183500
4,1092,288.0,1656,5,2,SLvl,HdBoard,None,CBlock,Attchd,41,126000
4,1055,440.0,1055,7,12,1Story,Plywood,None,CBlock,Attchd,31,148500
3,676,720.0,1352,5,4,2Story,VinylSd,None,BrkTil,Detchd,70,149000
4,855,440.0,1456,6,12,2Story,Plywood,None,CBlock,Attchd,32,137900
4,1719,473.0,1719,8,24,1Story,BrkFace,None,PConc,Attchd,15,324000
3,864,0.0,864,5,5,1Story,Stucco,None,CBlock,None,83,98000
3,483,264.0,987,6,3,2Story,HdBoard,BrkFace,CBlock,Detchd,35,103400
3,780,0.0,1020,5,7,1.5Fin,VinylSd,None,CBlock,None,135,94000
4,1554,627.0,1554,8,27,1Story,VinylSd,Stone,PConc,Attchd,1,209500
5,1528,758.0,3390,10,28,2Story,CemntBd,BrkFace,PConc,BuiltIn,0,545224
3,780,0.0,1560,6,4,2Story,Wd Sdng,None,PConc,None,98,159900
3,864,400.0,864,4,14,1Story,VinylSd,None,CBlock,Detchd,59,141000
4,1008,431.0,1889,6,14,2Story,VinylSd,None,PConc,Attchd,6,215000
3,1040,260.0,1040,5,7,1Story,HdBoard,None,CBlock,Detchd,48,127000
3,1172,366.0,1172,5,5,1Story,WdShing,None,CBlock,Attchd,56,128000
5,1418,852.0,1418,8,22,1Story,CemntBd,None,PConc,Attchd,0,267916
3,959,560.0,1367,6,6,1.5Fin,Wd Sdng,None,BrkTil,Detchd,76,127500
0,495,672.0,1922,7,5,SFoyer,HdBoard,BrkFace,Slab,BuiltIn,6,198500
4,1422,576.0,1422,6,16,1Story,MetalSd,BrkFace,CBlock,Attchd,27,175500
4,985,486.0,1842,7,20,2Story,VinylSd,BrkFace,PConc,Attchd,7,217500
3,888,572.0,1962,4,4,1.5Fin,MetalSd,None,CBlock,Detchd,95,149500
3,1120,656.0,1120,5,11,1Story,HdBoard,BrkFace,PConc,Attchd,43,148800
5,1992,716.0,2868,9,28,2Story,CemntBd,Stone,PConc,BuiltIn,1,556581
3,1478,442.0,1478,6,11,1Story,BrkFace,None,CBlock,Attchd,52,156500
4,950,610.0,1995,7,20,2Story,VinylSd,None,PConc,Attchd,11,237000
3,912,297.0,912,5,11,1Story,MetalSd,None,CBlock,Attchd,49,120000
4,1326,388.0,1326,6,14,1Story,VinylSd,None,PConc,Attchd,2,203000
4,1204,461.0,1204,8,28,1Story,HdBoard,None,CBlock,Attchd,19,130000
3,798,442.0,1611,6,11,2Story,HdBoard,BrkFace,CBlock,Attchd,44,167900
3,960,576.0,960,4,6,1Story,HdBoard,BrkFace,CBlock,Detchd,36,129000
3,1236,447.0,1236,5,11,1Story,HdBoard,BrkFace,CBlock,Attchd,49,134450
3,1416,576.0,1416,5,7,1Story,Wd Sdng,None,BrkTil,Attchd,89,112000
4,946,619.0,1873,7,15,2Story,HdBoard,BrkFace,PConc,Attchd,19,207000
3,1088,0.0,2128,5,4,2Story,MetalSd,None,BrkTil,None,87,62500
4,764,474.0,1626,7,27,2Story,VinylSd,Stone,PConc,BuiltIn,5,154000
3,816,308.0,816,5,11,1Story,WdShing,None,CBlock,Detchd,49,129900
4,536,336.0,1112,5,1,2Story,CemntBd,None,CBlock,Attchd,34,85000
3,572,288.0,1111,7,4,1.5Fin,Wd Sdng,None,PConc,Detchd,82,116900
3,855,440.0,1441,6,12,2Story,Plywood,None,CBlock,Attchd,31,148500
4,672,280.0,924,4,5,1.5Fin,MetalSd,None,BrkTil,Detchd,69,80000
4,1126,506.0,1126,5,7,SFoyer,VinylSd,None,PConc,Attchd,24,152000
2,992,319.0,992,5,5,1Story,VinylSd,None,CBlock,Detchd,56,155891
3,752,576.0,1376,6,6,1.5Fin,Wd Sdng,None,PConc,Detchd,87,165000
4,1218,676.0,1218,7,22,1Story,VinylSd,None,PConc,Attchd,1,204500
3,888,312.0,1644,5,11,2Story,MetalSd,Stone,CBlock,Attchd,65,146500
4,1601,478.0,1601,7,16,1Story,Plywood,BrkFace,CBlock,Attchd,31,157000
3,1313,342.0,2495,7,4,2Story,Wd Sdng,None,BrkTil,Detchd,118,184000
4,807,393.0,1509,6,14,2Story,VinylSd,None,PConc,Attchd,4,183200
3,1092,288.0,1092,5,7,1Story,Wd Sdng,BrkFace,CBlock,Attchd,47,139000
4,1325,983.0,2418,7,26,2Story,Wd Sdng,BrkFace,PConc,Attchd,15,341000
3,483,264.0,987,6,3,2Story,HdBoard,BrkFace,CBlock,Detchd,39,96000
4,1121,440.0,1121,4,5,1Story,VinylSd,None,PConc,Attchd,7,140000
3,1236,923.0,1236,6,4,1Story,MetalSd,None,CBlock,Attchd,53,149700
4,1074,495.0,1074,5,16,1Story,HdBoard,None,CBlock,Attchd,31,153500
0,733,487.0,733,1,2,1Story,AsbShng,None,Slab,Attchd,56,13100
4,884,543.0,1768,7,20,2Story,VinylSd,BrkFace,PConc,Attchd,5,224900
4,1266,453.0,1266,7,22,1Story,VinylSd,None,PConc,Attchd,1,176000
4,2129,541.0,2872,8,26,1.5Fin,HdBoard,BrkFace,PConc,Attchd,15,285000
4,1464,754.0,1464,8,22,1Story,VinylSd,Stone,PConc,Attchd,0,282922
3,1216,487.0,2157,7,11,2Story,MetalSd,BrkFace,CBlock,Attchd,40,226000
5,1264,666.0,2576,8,28,2Story,VinylSd,BrkFace,PConc,BuiltIn,0,361919
5,1414,670.0,2798,9,28,2Story,VinylSd,BrkFace,PConc,BuiltIn,1,457347
4,1743,529.0,1743,8,23,1Story,Wd Sdng,None,CBlock,Attchd,31,279000
3,1567,714.0,1567,6,13,1Story,Plywood,None,PConc,Attchd,32,196000
4,1370,479.0,1370,7,16,1Story,HdBoard,BrkFace,CBlock,Attchd,33,152000
3,1338,968.0,2634,5,11,2Story,MetalSd,BrkFace,CBlock,Detchd,40,200000
5,1590,754.0,1590,8,20,1Story,VinylSd,BrkFace,PConc,Attchd,1,294900
4,1450,788.0,1450,7,15,1Story,VinylSd,BrkFace,PConc,Attchd,1,224243
2,846,528.0,1338,6,5,1.5Fin,AsbShng,None,BrkTil,Detchd,91,92000
4,728,400.0,1456,7,14,2Story,VinylSd,None,PConc,Attchd,0,179540
5,2392,968.0,2392,10,27,1Story,VinylSd,BrkFace,PConc,Attchd,6,386250
4,530,297.0,992,4,1,SLvl,CemntBd,None,CBlock,BuiltIn,37,106500
5,1026,812.0,2007,10,22,2Story,VinylSd,Stone,PConc,Attchd,1,310000
4,1108,600.0,2385,7,26,2Story,VinylSd,BrkFace,PConc,BuiltIn,9,252000
3,918,240.0,1646,7,19,2.5Unf,MetalSd,None,CBlock,Detchd,66,164000
4,728,400.0,1456,7,14,2Story,VinylSd,Stone,PConc,Attchd,0,177594
3,548,624.0,1040,5,6,1.5Fin,VinylSd,None,CBlock,Detchd,74,123900
4,1370,864.0,2624,6,19,2Story,Wd Sdng,None,BrkTil,Detchd,89,239000
3,1264,528.0,1264,5,13,1Story,Plywood,None,CBlock,Attchd,45,169000
4,1557,420.0,1557,7,18,1Story,VinylSd,BrkFace,PConc,Attchd,3,234000
4,1287,541.0,1287,6,13,SFoyer,Plywood,None,CBlock,Attchd,32,173000
3,1004,480.0,1004,6,11,1Story,Wd Sdng,BrkFace,CBlock,Attchd,40,149000
4,1162,483.0,1162,7,15,1Story,VinylSd,None,PConc,Attchd,1,170000
5,1436,529.0,1436,7,22,1Story,VinylSd,None,PConc,Attchd,1,225000
3,960,300.0,960,5,7,1Story,VinylSd,None,CBlock,Attchd,45,144900
4,1196,336.0,1196,5,5,1Story,MetalSd,None,CBlock,Attchd,42,144000
4,1269,430.0,1269,8,18,1Story,VinylSd,BrkFace,PConc,Attchd,6,192000
3,1031,230.0,1031,5,11,1Story,Wd Sdng,None,CBlock,Attchd,57,145500
2,448,280.0,720,4,4,1.5Fin,MetalSd,None,BrkTil,Attchd,106,86900
3,1505,505.0,1505,6,11,1Story,Wd Sdng,BrkFace,CBlock,Attchd,56,149500
2,954,240.0,954,5,19,1Story,MetalSd,None,PConc,Basment,69,119750
4,750,564.0,1500,6,20,2Story,VinylSd,None,PConc,Attchd,1,173900
3,1050,368.0,1050,5,11,1Story,Wd Sdng,None,CBlock,Attchd,45,136500
4,2079,618.0,2687,8,28,2Story,CemntBd,None,PConc,Attchd,12,270000
4,1252,564.0,1252,6,23,1Story,BrkFace,None,CBlock,Attchd,48,235000
4,774,400.0,1430,7,14,SLvl,VinylSd,None,PConc,BuiltIn,10,156000
4,1114,576.0,1114,5,15,1Story,VinylSd,None,PConc,Detchd,6,153000
5,1224,402.0,1224,6,13,1Story,VinylSd,BrkFace,PConc,Attchd,10,165000
4,1134,656.0,2504,9,28,2Story,VinylSd,BrkFace,PConc,BuiltIn,3,325000
3,760,528.0,1355,5,19,1.5Fin,VinylSd,None,CBlock,Detchd,66,140000
3,1497,658.0,2294,6,2,SLvl,HdBoard,BrkFace,CBlock,Attchd,44,202500
5,1702,1052.0,1702,9,27,1Story,MetalSd,BrkFace,PConc,Attchd,0,367294
4,1509,600.0,1509,6,21,SLvl,HdBoard,BrkFace,CBlock,Attchd,20,175000
3,961,642.0,1717,7,19,2Story,Wd Sdng,None,BrkTil,Detchd,91,140000
4,1240,528.0,1240,7,21,1Story,Plywood,None,CBlock,Attchd,22,174000
4,1166,400.0,1166,7,14,SLvl,VinylSd,Stone,PConc,Attchd,3,190000
3,764,0.0,1464,5,4,2Story,VinylSd,None,CBlock,None,99,129000
3,1652,510.0,1652,6,11,1Story,MetalSd,BrkFace,CBlock,Attchd,48,200000
4,1182,509.0,2142,6,11,2Story,VinylSd,BrkFace,CBlock,Attchd,41,193500
4,1092,504.0,1092,6,11,1Story,HdBoard,Stone,CBlock,Attchd,44,145000
3,1122,451.0,1671,7,19,1.5Fin,Stucco,BrkFace,BrkTil,Detchd,77,218000
0,1488,569.0,1488,5,5,1Story,Wd Sdng,BrkFace,Slab,Attchd,54,135000
3,1624,240.0,1624,5,11,1Story,Wd Sdng,Stone,CBlock,Attchd,54,146500
4,1362,460.0,1362,6,27,1Story,VinylSd,Stone,PConc,Attchd,2,194700
4,1218,462.0,1218,7,22,1Story,CemntBd,Stone,PConc,Attchd,1,230348
2,1068,288.0,1068,6,4,1Story,Wd Sdng,None,BrkTil,Detchd,87,109500
4,1625,576.0,1625,6,13,1Story,Plywood,None,CBlock,Attchd,27,242500
4,1064,504.0,1767,7,28,2Story,HdBoard,None,PConc,Attchd,19,239000
3,1050,286.0,1050,6,11,1Story,Wd Sdng,BrkFace,CBlock,Attchd,52,156000
3,907,352.0,907,4,11,1Story,MetalSd,None,CBlock,Detchd,51,109008
0,640,256.0,845,2,2,1.5Fin,MetalSd,None,BrkTil,Detchd,68,68104
4,1251,751.0,2501,8,26,2Story,VinylSd,BrkFace,PConc,Attchd,13,290000
4,1209,504.0,1209,5,11,1Story,HdBoard,None,PConc,Attchd,44,159000
3,453,231.0,906,4,6,2Story,MetalSd,None,PConc,Basment,71,87000
4,1601,670.0,1601,8,20,1Story,VinylSd,BrkFace,PConc,Attchd,9,272000
4,1336,502.0,1336,7,20,1Story,VinylSd,None,PConc,Attchd,1,198000
3,1095,440.0,1656,4,4,1.5Fin,MetalSd,None,BrkTil,Detchd,68,119164
0,1124,0.0,1124,5,5,1Story,Wd Sdng,None,Slab,None,52,93000
4,1008,431.0,1892,7,14,2Story,VinylSd,BrkFace,PConc,Attchd,8,226750
2,1014,420.0,1699,3,4,2Story,HdBoard,None,CBlock,CarPort,109,95000
3,780,312.0,1416,6,6,1.5Fin,Wd Sdng,None,CBlock,Detchd,62,139900
3,1306,0.0,1306,3,6,1Story,Wd Sdng,None,CBlock,None,70,76500
3,672,308.0,672,4,4,1Story,VinylSd,None,PConc,Detchd,68,86900
3,1160,257.0,1160,5,13,1Story,Plywood,None,CBlock,Attchd,40,152500
4,930,286.0,930,4,5,1Story,MetalSd,Stone,CBlock,Attchd,55,99000
3,708,0.0,708,4,6,1Story,VinylSd,None,CBlock,None,69,82500
4,1575,529.0,1575,6,15,1Story,Plywood,None,PConc,Attchd,15,179200
3,1059,286.0,1059,5,7,1Story,Plywood,None,CBlock,Attchd,40,142500
3,1005,440.0,1005,4,7,1Story,HdBoard,None,CBlock,Detchd,43,115400
4,1057,650.0,1929,7,22,2Story,VinylSd,None,PConc,Attchd,6,226000
4,520,480.0,1200,7,22,2Story,MetalSd,None,PConc,Detchd,1,144152
5,1804,795.0,2690,8,27,2Story,VinylSd,BrkFace,PConc,BuiltIn,5,370000
4,833,495.0,833,5,13,1Story,VinylSd,None,CBlock,Attchd,26,149900
4,728,429.0,1456,6,14,2Story,VinylSd,None,PConc,Attchd,0,172785
3,864,720.0,864,5,11,1Story,VinylSd,None,CBlock,Detchd,57,129000
4,1586,435.0,1586,6,16,1Story,HdBoard,None,CBlock,Attchd,30,181000
3,1370,300.0,1370,5,11,SLvl,Wd Sdng,BrkFace,CBlock,Basment,50,148000
4,914,0.0,914,6,5,1Story,VinylSd,None,PConc,None,4,117250
4,1555,430.0,1555,7,18,1Story,VinylSd,BrkFace,PConc,Attchd,4,192500
4,716,452.0,1556,6,10,2Story,MetalSd,None,CBlock,Attchd,28,151000
3,882,461.0,882,5,20,1Story,VinylSd,None,CBlock,Detchd,35,112500
3,1167,495.0,1167,5,6,1Story,Stucco,None,BrkTil,Detchd,87,144000
5,1800,944.0,1800,9,27,1Story,MetalSd,BrkFace,PConc,Attchd,1,370967
3,855,440.0,1456,6,12,2Story,Plywood,None,CBlock,Attchd,35,149900
4,831,493.0,1660,7,20,2Story,VinylSd,BrkFace,PConc,Attchd,7,195000
4,812,392.0,1482,7,14,SLvl,HdBoard,BrkFace,PConc,Attchd,15,163900
4,1522,552.0,1522,6,23,1Story,Wd Sdng,BrkFace,PConc,Attchd,23,182000
5,2036,780.0,2036,9,21,1Story,CemntBd,Stone,CBlock,Attchd,1,410000
4,1595,672.0,1595,5,13,1Story,HdBoard,None,PConc,Detchd,18,152000
4,891,462.0,1686,7,15,2Story,VinylSd,BrkFace,PConc,Attchd,1,184000
4,1344,784.0,1344,7,13,SFoyer,VinylSd,BrkFace,PConc,Attchd,11,206300
3,1652,928.0,1652,5,13,1Story,Plywood,None,CBlock,2Types,36,146500
3,832,263.0,1337,4,11,1.5Fin,MetalSd,None,CBlock,Attchd,54,108000
3,1222,487.0,1920,7,16,SLvl,MetalSd,BrkFace,CBlock,Attchd,38,170000
4,848,420.0,848,6,20,1Story,VinylSd,BrkFace,PConc,Attchd,4,145000
4,1055,440.0,1055,7,12,1Story,Plywood,None,CBlock,Attchd,34,123000
4,1291,431.0,1291,6,23,1Story,Wd Sdng,None,PConc,Attchd,12,173000
3,720,484.0,720,6,4,1Story,VinylSd,None,BrkTil,Detchd,82,105900
4,526,297.0,988,4,1,SLvl,CemntBd,None,CBlock,BuiltIn,36,91000
3,986,295.0,1523,5,19,1.5Fin,BrkComm,None,BrkTil,Attchd,60,158000
4,864,572.0,1728,7,20,2Story,VinylSd,None,PConc,Attchd,5,190000
4,1239,477.0,1239,8,24,1Story,BrkFace,None,PConc,Attchd,13,217500
3,1151,356.0,1955,5,2,1.5Fin,WdShing,BrkFace,CBlock,Attchd,50,165500
3,860,234.0,1564,7,19,2Story,MetalSd,None,CBlock,Attchd,68,174500
5,1204,312.0,1204,4,5,SLvl,Wd Sdng,None,CBlock,Basment,54,100000
3,1329,312.0,1329,6,11,1Story,Wd Sdng,BrkFace,CBlock,Attchd,52,172000
3,879,440.0,879,5,20,1Story,HdBoard,None,CBlock,Attchd,32,120000
3,841,294.0,841,4,15,1Story,Wd Sdng,None,CBlock,CarPort,59,82000
3,900,649.0,1312,6,11,1.5Fin,VinylSd,None,CBlock,Detchd,59,127000
4,1134,396.0,2058,6,4,2.5Unf,AsbShng,None,BrkTil,Detchd,91,129500
4,1360,565.0,1360,8,28,1Story,HdBoard,None,CBlock,Attchd,25,187500
5,1786,715.0,1786,8,20,1Story,VinylSd,BrkFace,PConc,Attchd,6,300000
3,1097,495.0,1993,6,16,2Story,HdBoard,BrkFace,CBlock,Attchd,35,190000
3,986,280.0,1362,4,5,1.5Fin,MetalSd,None,BrkTil,Detchd,87,96000
